127.0.0.1, 2015-10-20 19:18:16, GET, /admin/static/_2.12.3/images/save_icon.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-10-20 19:18:16, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.384000
127.0.0.1, 2015-10-20 19:18:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.423000
127.0.0.1, 2015-10-20 19:18:17, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.253000
127.0.0.1, 2015-10-20 19:18:27, GET, /admin/default/edit/webflow/models/padrao.py, HTTP/1.1, 200, 0.034000
127.0.0.1, 2015-10-20 19:18:27, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.010000
127.0.0.1, 2015-10-20 19:19:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.063000
127.0.0.1, 2015-10-20 19:20:06, GET, /webflow/appadmin/hooks, HTTP/1.1, 500, 110.189000
127.0.0.1, 2015-10-20 19:20:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.050000
127.0.0.1, 2015-10-20 19:20:47, GET, /admin/default/edit/webflow/views/layout_painel.html, HTTP/1.1, 200, 0.046000
127.0.0.1, 2015-10-20 19:20:47, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.010000
127.0.0.1, 2015-10-20 19:21:06, GET, /webflow/appadmin/hooks, HTTP/1.1, 500, 110.146000
127.0.0.1, 2015-10-20 19:21:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.066000
127.0.0.1, 2015-10-20 19:22:06, GET, /webflow/appadmin/hooks, HTTP/1.1, 500, 110.157000
127.0.0.1, 2015-10-20 19:22:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.076000
127.0.0.1, 2015-10-20 19:23:06, GET, /webflow/appadmin/hooks, HTTP/1.1, 500, 110.145000
127.0.0.1, 2015-10-20 19:23:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.078000
127.0.0.1, 2015-10-20 19:24:06, GET, /webflow/appadmin/hooks, HTTP/1.1, 500, 110.165000
127.0.0.1, 2015-10-20 19:24:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.104000
127.0.0.1, 2015-10-20 19:25:06, GET, /webflow/appadmin/hooks, HTTP/1.1, 500, 110.136000
127.0.0.1, 2015-10-20 19:25:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.078000
127.0.0.1, 2015-10-20 19:26:06, GET, /webflow/appadmin/hooks, HTTP/1.1, 500, 110.157000
127.0.0.1, 2015-10-20 19:26:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.115000
127.0.0.1, 2015-10-20 19:26:45, GET, /admin/default/edit/webflow/controllers/painel.py, HTTP/1.1, 200, 0.141000
127.0.0.1, 2015-10-20 19:26:46, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.027000
127.0.0.1, 2015-10-20 19:27:06, GET, /webflow/appadmin/hooks, HTTP/1.1, 500, 110.131000
127.0.0.1, 2015-10-20 19:27:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.074000
127.0.0.1, 2015-10-20 19:28:06, GET, /webflow/appadmin/hooks, HTTP/1.1, 500, 110.189000
127.0.0.1, 2015-10-20 19:28:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.099000
127.0.0.1, 2015-10-20 19:29:06, GET, /webflow/appadmin/hooks, HTTP/1.1, 500, 110.108000
127.0.0.1, 2015-10-20 19:29:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.106000
127.0.0.1, 2015-10-20 19:30:06, GET, /webflow/appadmin/hooks, HTTP/1.1, 500, 110.077000
127.0.0.1, 2015-10-20 19:30:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.067000
127.0.0.1, 2015-10-20 19:31:06, GET, /webflow/appadmin/hooks, HTTP/1.1, 500, 110.143000
127.0.0.1, 2015-10-20 19:31:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.112000
127.0.0.1, 2015-10-20 19:32:06, GET, /webflow/appadmin/hooks, HTTP/1.1, 500, 110.081000
127.0.0.1, 2015-10-20 19:32:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.071000
127.0.0.1, 2015-10-20 19:32:23, GET, /admin/default/edit/webflow/controllers/alerta.py, HTTP/1.1, 200, 0.065000
127.0.0.1, 2015-10-20 19:32:23, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.014000
127.0.0.1, 2015-10-20 19:33:06, GET, /webflow/appadmin/hooks, HTTP/1.1, 500, 110.197000
127.0.0.1, 2015-10-20 19:33:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.060000
127.0.0.1, 2015-10-20 19:33:26, GET, /admin/default/edit/webflow/controllers/acesso.py, HTTP/1.1, 200, 0.051000
127.0.0.1, 2015-10-20 19:33:26, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.014000
127.0.0.1, 2015-10-20 19:33:44, GET, /admin/default/edit/webflow/controllers/banco.py, HTTP/1.1, 200, 0.065000
127.0.0.1, 2015-10-20 19:33:44, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.015000
127.0.0.1, 2015-10-20 19:33:57, GET, /admin/default/edit/webflow/controllers/hardware.py, HTTP/1.1, 200, 0.056000
127.0.0.1, 2015-10-20 19:33:57, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.015000
127.0.0.1, 2015-10-20 19:34:06, GET, /webflow/appadmin/hooks, HTTP/1.1, 500, 110.076000
127.0.0.1, 2015-10-20 19:34:10, GET, /admin/default/edit/webflow/controllers/historico.py, HTTP/1.1, 200, 0.097000
127.0.0.1, 2015-10-20 19:34:10, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.015000
127.0.0.1, 2015-10-20 19:34:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.061000
127.0.0.1, 2015-10-20 19:35:06, GET, /webflow/appadmin/hooks, HTTP/1.1, 500, 110.060000
127.0.0.1, 2015-10-20 19:36:06, GET, /webflow/appadmin/hooks, HTTP/1.1, 500, 110.073000
127.0.0.1, 2015-10-21 09:37:30, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2015-10-21 09:37:30, GET, /welcome/default/index, HTTP/1.1, 200, 0.632000
127.0.0.1, 2015-10-21 09:37:30, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-21 09:37:30, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-21 09:37:30, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-10-21 09:37:30, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-10-21 09:37:30, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-21 09:37:30, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-21 09:37:30, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-10-21 09:37:30, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-10-21 09:37:30, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-21 09:37:30, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-10-21 09:37:30, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-10-21 09:37:30, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-21 09:37:30, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.001000
.1, 200, 0.001000
127.0.0.1, 2015-10-21 09:37:30, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-21 09:37:30, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-21 09:37:30, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-21 09:37:33, GET, /admin/default/index, HTTP/1.1, 200, 0.635000
127.0.0.1, 2015-10-21 09:37:33, GET, /admin/static/_2.12.3/js/calendar.js, HTTP/1.1, 200, 0.038000
127.0.0.1, 2015-10-21 09:37:33, GET, /admin/static/_2.12.3/js/web2py.js, HTTP/1.1, 200, 0.037000
127.0.0.1, 2015-10-21 09:37:33, GET, /admin/static/_2.12.3/js/jquery.js, HTTP/1.1, 200, 0.040000
127.0.0.1, 2015-10-21 09:37:33, GET, /admin/static/_2.12.3/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.039000
127.0.0.1, 2015-10-21 09:37:33, GET, /admin/static/_2.12.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.038000
127.0.0.1, 2015-10-21 09:37:33, GET, /admin/static/_2.12.3/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-21 09:37:33, GET, /admin/static/_2.12.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-21 09:37:33, GET, /admin/static/_2.12.3/css/calendar.css, HTTP/1.1, 200, 0.048000
127.0.0.1, 2015-10-21 09:37:33, GET, /admin/static/_2.12.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-21 09:37:33, GET, /admin/static/_2.12.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-10-21 09:37:33, GET, /admin/static/_2.12.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-21 09:37:33, GET, /admin/static/_2.12.3/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-10-21 09:37:33, GET, /admin/static/_2.12.3/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-21 09:37:33, GET, /admin/static/_2.12.3/images/questions.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-21 09:37:33, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-10-21 09:37:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-10-21 09:37:40, POST, /admin/default/index, HTTP/1.1, 303, 0.042000
127.0.0.1, 2015-10-21 09:37:40, GET, /admin/default/site, HTTP/1.1, 200, 0.080000
127.0.0.1, 2015-10-21 09:37:40, GET, /admin/static/_2.12.3/images/folder.png, HTTP/1.1, 200, 0.015000
